Timestep,MeanReward,RewardType,Algorithm,Environment,Seed,RunName,DemoName,NumDemos
132,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_0,MGAIL_push_cube_array,demos-unknown,0
133,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_0,MGAIL_push_cube_array,demos-unknown,0
134,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_0,MGAIL_push_cube_array,demos-unknown,0
135,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_0,MGAIL_push_cube_array,demos-unknown,0
136,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_0,MGAIL_push_cube_array,demos-unknown,0
137,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_0,MGAIL_push_cube_array,demos-unknown,0
138,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_0,MGAIL_push_cube_array,demos-unknown,0
139,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_0,MGAIL_push_cube_array,demos-unknown,0
140,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_0,MGAIL_push_cube_array,demos-unknown,0
141,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_0,MGAIL_push_cube_array,demos-unknown,0
142,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_0,MGAIL_push_cube_array,demos-unknown,0
143,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_0,MGAIL_push_cube_array,demos-unknown,0
144,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_0,MGAIL_push_cube_array,demos-unknown,0
145,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_0,MGAIL_push_cube_array,demos-unknown,0
146,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_0,MGAIL_push_cube_array,demos-unknown,0
147,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_0,MGAIL_push_cube_array,demos-unknown,0
148,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_0,MGAIL_push_cube_array,demos-unknown,0
149,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_0,MGAIL_push_cube_array,demos-unknown,0
150,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_0,MGAIL_push_cube_array,demos-unknown,0
151,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_0,MGAIL_push_cube_array,demos-unknown,0
152,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_0,MGAIL_push_cube_array,demos-unknown,0
153,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_0,MGAIL_push_cube_array,demos-unknown,0
154,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_0,MGAIL_push_cube_array,demos-unknown,0
155,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_0,MGAIL_push_cube_array,demos-unknown,0
156,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_0,MGAIL_push_cube_array,demos-unknown,0
157,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_0,MGAIL_push_cube_array,demos-unknown,0
158,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_0,MGAIL_push_cube_array,demos-unknown,0
159,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_0,MGAIL_push_cube_array,demos-unknown,0
160,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_0,MGAIL_push_cube_array,demos-unknown,0
161,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_0,MGAIL_push_cube_array,demos-unknown,0
162,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_0,MGAIL_push_cube_array,demos-unknown,0
163,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_0,MGAIL_push_cube_array,demos-unknown,0
164,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_0,MGAIL_push_cube_array,demos-unknown,0
165,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_0,MGAIL_push_cube_array,demos-unknown,0
166,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_0,MGAIL_push_cube_array,demos-unknown,0
167,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_0,MGAIL_push_cube_array,demos-unknown,0
168,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_0,MGAIL_push_cube_array,demos-unknown,0
169,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_0,MGAIL_push_cube_array,demos-unknown,0
170,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_0,MGAIL_push_cube_array,demos-unknown,0
171,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_0,MGAIL_push_cube_array,demos-unknown,0
172,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_0,MGAIL_push_cube_array,demos-unknown,0
173,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_0,MGAIL_push_cube_array,demos-unknown,0
174,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_0,MGAIL_push_cube_array,demos-unknown,0
175,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_0,MGAIL_push_cube_array,demos-unknown,0
176,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_0,MGAIL_push_cube_array,demos-unknown,0
177,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_0,MGAIL_push_cube_array,demos-unknown,0
178,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_0,MGAIL_push_cube_array,demos-unknown,0
179,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_0,MGAIL_push_cube_array,demos-unknown,0
180,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_0,MGAIL_push_cube_array,demos-unknown,0
181,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_0,MGAIL_push_cube_array,demos-unknown,0
182,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_0,MGAIL_push_cube_array,demos-unknown,0
183,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_0,MGAIL_push_cube_array,demos-unknown,0
184,0.3333333333,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_0,MGAIL_push_cube_array,demos-unknown,0
185,0.3333333333,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_0,MGAIL_push_cube_array,demos-unknown,0
186,0.3333333333,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_0,MGAIL_push_cube_array,demos-unknown,0
187,0.3333333333,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_0,MGAIL_push_cube_array,demos-unknown,0
188,0.3333333333,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_0,MGAIL_push_cube_array,demos-unknown,0
189,0.3333333333,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_0,MGAIL_push_cube_array,demos-unknown,0
190,0.3333333333,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_0,MGAIL_push_cube_array,demos-unknown,0
191,0.3333333333,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_0,MGAIL_push_cube_array,demos-unknown,0
192,0.3333333333,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_0,MGAIL_push_cube_array,demos-unknown,0
193,0.3333333333,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_0,MGAIL_push_cube_array,demos-unknown,0
194,0.3333333333,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_0,MGAIL_push_cube_array,demos-unknown,0
195,0.6666666667,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_0,MGAIL_push_cube_array,demos-unknown,0
196,0.6666666667,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_0,MGAIL_push_cube_array,demos-unknown,0
197,0.6666666667,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_0,MGAIL_push_cube_array,demos-unknown,0
198,0.6666666667,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_0,MGAIL_push_cube_array,demos-unknown,0
199,0.6666666667,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_0,MGAIL_push_cube_array,demos-unknown,0
0,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
1,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
2,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
3,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
4,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
5,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
6,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
7,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
8,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
9,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
10,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
11,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
12,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
13,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
14,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
15,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
16,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
17,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
18,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
19,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
20,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
21,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
22,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
23,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
24,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
25,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
26,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
27,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
28,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
29,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
30,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
31,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
32,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
33,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
34,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
35,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
36,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
37,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
38,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
39,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
40,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
41,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
42,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
43,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
44,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
45,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
46,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
47,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
48,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
49,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
50,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
51,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
52,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
53,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
54,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
55,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
56,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
57,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
58,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
59,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
60,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
61,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
62,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
63,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
64,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
65,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
66,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
67,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
68,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
69,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
70,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
71,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
72,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
73,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
74,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
75,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
76,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
77,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
78,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
79,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
80,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
81,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
82,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
83,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
84,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
85,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
86,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
87,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
88,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
89,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
90,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
91,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
92,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
93,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
94,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
95,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
96,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
97,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
98,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
99,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
100,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
101,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
102,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
103,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
104,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
105,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
106,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
107,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
108,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
109,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
110,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
111,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
112,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
113,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
114,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
115,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
116,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
117,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
118,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
119,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
120,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
121,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
122,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
123,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
124,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
125,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
126,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
127,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
128,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
129,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
130,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
131,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
132,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
133,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
134,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
135,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
136,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
137,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
138,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
139,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
140,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
141,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
142,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
143,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
144,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
145,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
146,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
147,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
148,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
149,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
150,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
151,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
152,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
153,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
154,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
155,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
156,0.0,sparse,MGAIL,Push Cube,mgail_push_cube_array_seed_1,MGAIL_push_cube_array,demos-unknown,0
